,sandwich_name,calories,total_fat,trans_fat,cholestrol,total_carbohydrates,dietary_fiber,protein,sodium,sandwich_id,sugars,restaurant_name,bread_type,sandwich_length,sandwich_type,saturated_fat,sandwich_description
0,"Subway 6"" Chipotle Chicken and Cheese ",450,18,0.0,70,46,5,7,,,,,,,,,
1,"Subway 6"" B.L.T. ",340,13,0.0,35,37,2,5,,,,,,,,,
2,"Subway 6"" BBQ Rib Sandwich ",580,31,0,60,54,3,18,,,,,,,,,
3,"Subway 6"" Bi Hot Pastrai ",580,31,0.0,85,47,5,7,,,,,,,,,
4,"Subway 6"" Black Forest Ha ",260,4,0.0,25,41,5,6,,,,,,,,,
5,"Subway 6"" Buffalo Chicken Sandwich ",340,12,0,50 ,39,3,5,,,,,,,,,
6,"Subway 6"" Chicken & Bacon Ranch Melt ",570,28,1.0,95,47,5,8,,,,,,,,,
7,Subway Chicken Cordon Bleu Melt ,410,9,0.0,75,53,5,13,,,,,,,,,
8,"Subway 6"" Chicken Mano Curry Sandwich ",330,7,0,50,43,3,8,,,,,,,,,
9,"Subway 6"" Chicken Pizziola Melt ",460,16,0.0,80,49,6,9,,,,,,,,,
10,"Subway 6"" Chicken Tikka Sandwich ",290,5,0,50,39,2,5,,,,,,,,,
11,"Subway 6"" Chicken Vindaloo Sandwich ",340,9,0,50,42,3,6,,,,,,,,,
12,"Subway 6"" Cold Cut Cobo ",370,13,0.0,50,46,5,7,,,,,,,,,
13,"Subway 6"" Genoa Salai Sandwich ",430,23,0,60,40,2,5,,,,,,,,,
14,Subway Ha & Jack Slider ,150,4.5,0,20,17,1,1,,,,,,,,,
15,"Subway 6"" Italian B.M.T. ",410,16,0.0,45,46,5,8,,,,,,,,,
16,Subway Italian Spice Slider ,230,14,0,30,18,1,1,,,,,,,,,
17,Subway Little Cheesesteak Slider ,180,7,0,15,19,1,2,,,,,,,,,
18,Subway Little Turkey Slider ,200,10,0 ,25,17,1,1,,,,,,,,,
19,"Subway 6"" Meatball Marinara ",480,18,1.0,30,59,8,12,,,,,,,,,
20,"Subway 6"" Oven Roasted Chicken ",320,5,0.0,25,47,5,8,,,,,,,,,
21,"Subway 6"" Paneer Tikka Sandwich ",570,30,.5,70,48,3,7,,,,,,,,,
22,"Subway 6"" Roast Beef ",320,5,0.0,40,45,5,7,,,,,,,,,
23,"Subway 6"" Rotisserie Style Chicken ",350,6,0.0,50,44,5,7,,,,,,,,,
24,"Subway 6"" Southwest Chicken Club Sandwich ",580,29,0,95,43,4,6,,,,,,,,,
25,"Subway 6"" Spicy Italian ",480,24,1.0,50,46,5,8,,,,,,,,,
26,"Subway 6"" Steak and Cheese ",380,10,0.0,50,48,5,8,,,,,,,,,
27,"Subway 6"" Subway Club ",310,5,0.0,40,46,5,7,,,,,,,,,
28,"Subway 6"" Subway Melt (includes cheese) ",370,11,0.0,45,47,5,8,,,,,,,,,
29,"Subway 6"" Subway Seafood Sensation ",420,19,0.0,20,51,5,8,,,,,,,,,
30,"Subway 6"" Sweet Onion Chicken Teriyaki ",380,5,0.0,50,59,5,18,,,,,,,,,
31,"Subway 6"" Tuna ",470,24,0.0,30,44,5,6,,,,,,,,,
32,"Subway 6"" Turkey & Bacon Avocado ",390,13,0.0,30,49,8,7,,,,,,,,,
33,"Subway 6"" Turkey Breast ",280,4,0.0,20,46,5,7,,,,,,,,,
34,"Subway 6"" Turkey Breast & Ha ",280,4,0.0,20,46,5,8,,,,,,,,,
35,"Subway 6"" Turkey Italiano Melt (with Provolone) ",490,24,1.0,50,47,5,8,,,,,,,,,
36,"Subway 6"" Veie Delite ",230,3,0.0,0,44,5,6,,,,,,,,,
37,"Subway 6"" Veie Patty ",390,7,0.0,10,56,8,8,,,,,,,,,
