,Name of Sandwich,Calories (kcal),Fat Calories (kcal),Fat (g),Saturated Fat (g),Total Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugars (g),Protein (g)
"4"" Sub","Ultimate Turkey Club - with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",370,130,14,6,0,50,1200,37,2,4,23
"8"" Sub","Ultimate Turkey Club - with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",740,260,29,11,0,100,2400,73,4,7,47
"12"" Sub","Ultimate Turkey Club - with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",1120,400,44,17,0,150,3640,109,6,10,70
Sammie,"Ultimate Turkey Club - with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",370,160,17,6,0,50,1190,30,4,3,22
Half Salad,"Ultimate Turkey Club - with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",370,260,29,7,0,65,1210,6,2,3,19
Full Salad,"Ultimate Turkey Club - with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",530,340,38,12,0,110,1900,10,4,4,37
"4"" Sub","Honey Bacon Club - with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",420,150,16,6,0,45,1170,44,2,11,24
"8"" Sub","Honey Bacon Club - with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",830,290,32,11,0,95,2340,88,4,20,47
"12"" Sub","Honey Bacon Club - with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",1270,450,50,17,0.5,140,3530,133,6,32,71
Sammie,"Honey Bacon Club - with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",430,180,19,6,0,45,1150,39,4,11,23
Half Salad,"Honey Bacon Club - with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",450,260,29,7,0,45,1110,27,2,23,19
Full Salad,"Honey Bacon Club - with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",620,340,37,11,0.5,95,1810,33,4,26,37
"4"" Sub","Traditional Club - with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",360,130,15,5,0,45,1110,38,2,4,20
"8"" Sub","Traditional Club - with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",720,270,30,10,0,90,2220,76,4,9,39
"12"" Sub","Traditional Club - with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",1100,420,46,15,0,135,3360,114,6,13,58
Sammie,"Traditional Club - with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",370,160,18,5,0,45,1100,32,4,4,19
Half Salad,"Traditional Club - with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",340,250,28,7,0,60,1120,9,2,4,15
Full Salad,"Traditional Club - with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",480,320,35,10,0,100,1740,15,4,7,29
"4"" Sub","Chipotle Turkey - with cheddar, lettuce, tomatoes, onions, chipotle mayo",390,170,18,6,0,40,1010,36,2,4,19
"8"" Sub","Chipotle Turkey - with cheddar, lettuce, tomatoes, onions, chipotle mayo",770,330,37,11,0,85,2030,72,4,7,38
"12"" Sub","Chipotle Turkey - with cheddar, lettuce, tomatoes, onions, chipotle mayo",1170,520,58,17,0.5,130,3080,108,7,10,57
Sammie,"Chipotle Turkey - with cheddar, lettuce, tomatoes, onions, chipotle mayo",400,210,23,6,0,45,1010,30,4,3,18
Half Salad,"Chipotle Turkey - with cheddar, lettuce, tomatoes, onions, chipotle mayo",470,390,43,9,0.5,60,1070,7,2,3,14
Full Salad,"Chipotle Turkey - with cheddar, lettuce, tomatoes, onions, chipotle mayo",590,440,49,12,0.5,95,1560,11,5,5,28
"4"" Sub","Turkey Bacon Guacamole - with provolone, lettuce, tomatoes, onions, ranch",420,170,18,5,0,45,1240,39,3,4,24
"8"" Sub","Turkey Bacon Guacamole - with provolone, lettuce, tomatoes, onions, ranch",840,330,37,11,0,90,2490,79,7,9,49
"12"" Sub","Turkey Bacon Guacamole - with provolone, lettuce, tomatoes, onions, ranch",1260,510,57,16,1,140,3760,116,10,11,72
Sammie,"Turkey Bacon Guacamole - with provolone, lettuce, tomatoes, onions, ranch",420,200,22,6,0,45,1240,33,5,4,23
Half Salad,"Turkey Bacon Guacamole - with provolone, lettuce, tomatoes, onions, ranch",400,280,31,7,0,60,1260,9,4,4,20
Full Salad,"Turkey Bacon Guacamole - with provolone, lettuce, tomatoes, onions, ranch",600,380,42,11,0.5,100,2010,18,7,7,39
